interval_begin,interval_end,interval_id,interval_meanDurationWithin,interval_meanHaltsPerVehicle,interval_meanHaltsPerVehicleWithin,interval_meanIntervalDurationWithin,interval_meanIntervalHaltsPerVehicleWithin,interval_meanIntervalSpeedWithin,interval_meanOverlapTravelTime,interval_meanSpeed,interval_meanSpeedWithin,interval_meanTimeLoss,interval_meanTimeLossWithin,interval_meanTravelTime,interval_vehicleSum,interval_vehicleSumWithin
0.00,300.00,SA3,158.95,0.00,1.86,158.95,1.86,5.96,18.67,8.01,5.96,4.83,53.93,18.24,8,14
300.00,600.00,SA3,110.30,0.07,1.22,110.30,1.22,7.05,26.61,8.07,7.05,8.73,37.86,26.19,14,18
600.00,900.00,SA3,112.36,0.25,1.17,105.63,1.04,6.32,52.11,7.97,6.37,15.42,36.50,51.69,8,24
900.00,1200.00,SA3,113.66,0.50,1.07,112.01,1.07,5.70,65.24,8.68,5.72,19.77,40.85,64.84,6,15
1200.00,1500.00,SA3,97.59,0.12,0.79,97.59,0.79,6.62,21.76,7.72,6.62,8.12,28.65,21.34,8,19
1500.00,1800.00,SA3,96.93,0.25,0.91,96.93,0.91,6.17,52.32,8.39,6.17,16.92,36.79,51.91,8,11
1800.00,2100.00,SA3,70.43,0.44,0.45,70.43,0.45,5.38,58.70,6.90,5.38,21.17,21.74,58.25,9,11
2100.00,2400.00,SA3,112.06,0.44,1.12,112.06,1.12,6.55,51.89,7.06,6.55,21.07,39.95,51.46,16,16
2400.00,2700.00,SA3,138.66,0.36,1.56,121.61,1.33,6.50,51.55,7.50,6.50,23.05,46.35,51.12,11,18
2700.00,3000.00,SA3,93.37,0.75,0.82,93.37,0.82,6.98,89.22,8.37,6.98,38.94,24.34,88.84,8,11
3000.00,3300.00,SA3,63.36,0.27,0.67,63.36,0.67,6.27,58.21,7.65,6.27,18.41,18.06,57.80,11,12
3300.00,3600.00,SA3,123.55,0.20,1.27,119.13,1.20,6.97,33.94,7.70,6.94,12.96,48.56,33.50,5,15
