interval_begin,interval_end,interval_id,interval_meanDurationWithin,interval_meanHaltsPerVehicle,interval_meanHaltsPerVehicleWithin,interval_meanIntervalDurationWithin,interval_meanIntervalHaltsPerVehicleWithin,interval_meanIntervalSpeedWithin,interval_meanOverlapTravelTime,interval_meanSpeed,interval_meanSpeedWithin,interval_meanTimeLoss,interval_meanTimeLossWithin,interval_meanTravelTime,interval_vehicleSum,interval_vehicleSumWithin
0.00,300.00,e3_1,81.64,0.11,0.50,81.64,0.50,5.91,8.03,6.19,5.91,4.13,26.94,7.56,18,8
300.00,600.00,e3_1,63.55,0.12,0.50,63.55,0.50,6.20,10.52,5.99,6.20,6.64,17.46,10.07,24,12
600.00,900.00,e3_1,101.77,0.07,0.77,100.74,0.77,6.00,7.93,6.53,6.00,4.15,34.67,7.47,28,13
900.00,1200.00,e3_1,157.61,0.11,1.30,132.04,1.10,5.08,9.13,6.07,5.24,5.23,46.78,8.66,19,10
1200.00,1500.00,e3_1,46.43,0.10,0.22,46.43,0.22,6.35,9.33,6.02,6.35,5.49,13.86,8.87,29,9
1500.00,1800.00,e3_1,104.74,0.00,3.56,104.74,3.56,4.20,5.34,6.47,4.20,1.45,33.38,4.88,20,9
1800.00,2100.00,e3_1,76.32,0.06,2.50,76.32,2.50,4.02,8.12,6.21,4.02,4.29,25.17,7.66,16,8
2100.00,2400.00,e3_1,83.12,0.10,0.67,83.12,0.67,5.32,9.32,6.04,5.32,5.43,27.04,8.85,30,9
2400.00,2700.00,e3_1,83.17,0.11,0.43,83.17,0.43,6.64,9.99,6.07,6.64,6.17,19.45,9.52,28,7
2700.00,3000.00,e3_1,101.12,0.19,1.38,100.04,1.38,3.66,11.64,5.66,3.67,7.78,27.47,11.17,16,8
3000.00,3300.00,e3_1,77.68,0.12,0.50,77.68,0.50,6.06,10.75,5.72,6.06,6.80,15.78,10.28,17,8
3300.00,3600.00,e3_1,93.21,0.15,0.44,93.21,0.44,5.39,9.42,6.02,5.39,5.58,29.42,8.93,20,9
