interval_begin;interval_end;interval_id;interval_meanDurationWithin;interval_meanHaltsPerVehicle;interval_meanHaltsPerVehicleWithin;interval_meanIntervalDurationWithin;interval_meanIntervalHaltsPerVehicleWithin;interval_meanIntervalSpeedWithin;interval_meanOverlapTravelTime;interval_meanSpeed;interval_meanSpeedWithin;interval_meanTimeLoss;interval_meanTimeLossWithin;interval_meanTravelTime;interval_vehicleSum;interval_vehicleSumWithin
0;300;RA3;88.11;0.33;1;88.11;1;1.49;20.72;4.43;1.49;11.88;67.14;19.89;6;3
300;600;RA3;2.73;0.36;0;2.73;0;4.86;26.32;4.18;4.86;17.52;0.64;25.47;14;1
600;900;RA3;-1;0.33;-1;-1;-1;-1;20.56;4.47;-1;11.78;-1;19.69;9;0
900;1200;RA3;25.02;0.33;1;25.02;1;0.35;11.9;5.06;0.35;3.1;23.07;11.06;12;3
1200;1500;RA3;4.54;0.36;0;4.54;0;6.03;26.34;4.05;6.03;17.54;0.36;25.48;11;1
1500;1800;RA3;27.4;0.33;1;27.4;1;0.24;20.18;4.34;0.24;11.38;25.71;19.35;9;4
1800;2100;RA3;-1;0.44;-1;-1;-1;-1;25.81;3.85;-1;17.06;-1;24.96;9;0
2100;2400;RA3;25.85;0.29;1;25.85;1;0.79;21.47;4.48;0.79;12.58;22.59;20.62;14;3
2400;2700;RA3;8.79;0.27;1;8.79;1;1.51;17.36;4.75;1.51;8.59;6.48;16.51;11;1
2700;3000;RA3;3.31;0.5;0;3.31;0;5.54;27.15;3.58;5.54;18.23;0.34;26.29;12;1
3000;3300;RA3;37.31;0.5;1;37.31;1;0.94;25.04;3.88;0.94;16.19;27.59;24.19;4;3
3300;3600;RA3;10.6;0.5;0;10.6;0;5.66;21.36;4.18;5.66;12.61;1.17;20.5;6;1
3600;3900;RA3;52.44;0.44;1.33;52.44;1.33;1.11;24.7;3.88;1.11;15.86;39.89;23.87;9;3
3900;4200;RA3;3.79;0.12;0;3.79;0;4.46;15.34;5.23;4.46;6.57;0.33;14.48;8;4
4200;4500;RA3;48.49;0.14;1;48.49;1;0.19;14.05;5.29;0.19;5.29;46.61;13.23;7;3
4500;4800;RA3;19.28;0.36;0;19.28;0;5.89;21.34;4.31;5.89;12.53;1.77;20.48;11;3
4800;5100;RA3;5.57;0.43;0;5.57;0;5.71;28.08;3.88;5.71;19.32;0.51;27.22;7;3
5100;5400;RA3;32.73;0.4;1;32.73;1;1.45;27.87;3.92;1.45;19.06;20.42;27.06;5;3
5400;5700;RA3;32.64;0.4;1;32.64;1;3.98;19.24;4.6;3.98;10.48;19.17;18.37;5;3
5700;6000;RA3;54.34;0.25;1;54.34;1;0.89;22.36;4.65;0.89;13.6;44.67;21.53;8;5
6000;6300;RA3;10.64;0.4;0.2;10.64;0.2;5.61;23.22;4.21;5.61;14.47;2.45;22.37;10;5
6300;6600;RA3;57.4;0.6;1;57.4;1;0.78;39.29;2.88;0.78;30.45;47.19;38.48;5;4
6600;6900;RA3;5.7;0.36;0;5.7;0;5.92;23.62;4.15;5.92;14.83;0.41;22.78;11;3
6900;7200;RA3;38.47;0.18;0.8;38.47;0.8;1.73;18.73;4.92;1.73;9.91;33.42;17.89;11;5
7200;7500;RA3;3.93;0.29;0.5;3.93;0.5;3.65;19.56;4.69;3.65;10.72;1.79;18.71;7;2
7500;7800;RA3;8.56;0.55;0;8.56;0;5.82;29.54;3.45;5.82;20.73;0.64;28.69;11;6
7800;8100;RA3;29.02;0.25;1;29.02;1;0.23;22.94;4.58;0.23;14.15;27.18;22.12;12;2
8100;8400;RA3;34.06;0.46;1;34.06;1;2.93;23.97;3.84;2.93;15.11;18;23.13;13;1
8400;8700;RA3;35.73;0.27;1;35.73;1;0.51;24.04;4.37;0.51;15.21;31.04;23.18;15;5
8700;9000;RA3;42;0.83;1;42;1;3.04;47.88;1.86;3.04;39.04;29.01;47.01;6;4
9000;9300;RA3;62.24;0.5;1;62.24;1;0.67;25.22;3.78;0.67;16.34;53.73;24.39;8;5
9300;9600;RA3;48.67;0.23;1.2;48.67;1.2;1.8;20.2;4.74;1.8;11.43;28.78;19.36;13;5
9600;9900;RA3;40.23;0.45;0.57;40.23;0.57;4.2;23.6;3.83;4.2;14.71;23.28;22.75;11;7
9900;10200;RA3;12.84;0.33;1;12.84;1;1.23;18.83;4.51;1.23;10.09;10.62;17.99;9;2
10200;10500;RA3;21.87;0.62;0.2;21.87;0.2;5.14;32.72;3.18;5.14;23.97;10.91;31.88;8;5
10500;10800;RA3;24.99;0.33;1;24.99;1;0.37;22.88;4.28;0.37;14.13;23.21;22.02;9;4
10800;11100;RA3;42.4;0.56;0.5;42.4;0.5;4.44;22.07;3.77;4.44;13.31;19.11;21.25;9;2
11100;11400;RA3;37.26;0.75;1;37.26;1;0.23;23;3.11;0.23;14.23;35.43;22.16;4;3
11400;11700;RA3;50.21;0.33;1;50.21;1;2.57;27.55;3.8;2.57;18.01;36.32;26.54;6;5
11700;12000;RA3;25.6;0.67;0.6;25.6;0.6;3.36;31.36;2.9;3.36;22.48;18.89;30.55;3;5
12000;12300;RA3;43.65;0.55;1.25;43.65;1.25;2.26;25.75;3.52;2.26;16.84;31.5;24.92;11;4
12300;12600;RA3;35.56;0.36;0.33;35.56;0.33;4.45;26.28;4.09;4.45;17.5;20.24;25.45;11;3
12600;12900;RA3;61.94;0.29;1.33;61.94;1.33;0.85;24.06;4.41;0.85;15.34;46.5;23.19;7;3
12900;13200;RA3;20.57;0.43;0;20.57;0;5.85;28.72;3.85;5.85;19.85;2.12;27.9;7;5
13200;13500;RA3;24.17;0.27;1;24.17;1;0.41;21.59;4.57;0.41;12.46;22.29;20.68;15;3
13500;13800;RA3;37.08;0.5;0.67;37.08;0.67;5.25;30.95;3.51;5.25;22.2;8.03;30.09;8;3
13800;14100;RA3;53.89;0.5;1;53.89;1;0.27;39.19;2.93;0.27;29.31;50.69;38.1;4;4
14100;14400;RA3;26.84;0.5;1;26.84;1;2.31;31.97;3.51;2.31;23.16;17.7;31.11;12;2
14400;14700;RA3;70.84;0.36;1;70.84;1;1.47;22.53;4.33;1.47;13.77;54.82;21.69;11;1
14700;15000;RA3;29.41;0.38;1;29.41;1;1.15;23.71;4.18;1.15;14.97;23.95;22.87;8;4
15000;15300;RA3;42.64;0.25;1;42.64;1;3.46;18.93;4.45;3.46;10.21;32.22;18.09;8;2
15300;15600;RA3;74.31;0.3;1.1;74.31;1.1;1.1;13.69;4.9;1.1;4.88;58.61;12.85;10;10
15600;15900;RA3;5.79;0.5;0;5.79;0;5.83;25.46;3.69;5.83;16.63;0.51;24.63;10;1
15900;16200;RA3;53.83;0.5;1;53.83;1;0.13;23.69;3.75;0.13;14.88;52.11;22.87;6;4
16200;16500;RA3;19.12;0.36;0;19.12;0;5.82;27.22;4.1;5.82;18.42;1.99;26.39;14;4
16500;16800;RA3;49.09;0.38;0.83;49.09;0.83;3.5;21.12;4.41;3.5;12.34;35.8;20.26;8;6
16800;17100;RA3;5.37;0.3;1;5.37;1;2.75;19.01;4.69;2.75;10.22;3.18;18.16;10;2
17100;17400;RA3;1.21;0.71;0;1.21;0;6.17;35.93;2.57;6.17;27.15;0;35.12;7;1
17400;17700;RA3;42.46;0.22;1;42.46;1;1.67;20.83;4.78;1.67;12.03;30.73;19.95;9;4
17700;18000;RA3;13.97;0.38;0.33;13.97;0.33;5.72;19.3;4.3;5.72;9.95;1.82;18.31;8;3
18000;18300;RA3;46.4;0.38;0.75;46.4;0.75;1.53;20.15;4.41;1.53;11.3;40.79;19.28;8;4
18300;18600;RA3;28.86;0.29;0.5;28.86;0.5;4.99;16.92;4.82;4.99;8.12;18.39;16.08;14;4
18600;18900;RA3;37.62;0.25;0.8;37.62;0.8;1.71;13.4;5;1.71;4.64;32.69;12.55;4;5
18900;19200;RA3;60.1;0.57;2;60.1;2;3.64;29.59;3.38;3.64;20.75;26.55;28.74;7;1
19200;19500;RA3;7.8;0.4;0;7.8;0;5.88;17.88;4.32;5.88;9.11;0.69;17.06;5;7
19500;19800;RA3;54.49;0.11;1.29;54.49;1.29;2.65;14.76;5.33;2.65;6;26.9;13.93;18;7
19800;20100;RA3;8.59;0.36;0;8.59;0;5.99;29.45;3.9;5.99;19.79;0.67;28.43;11;1
20100;20400;RA3;34.97;0.33;1;34.97;1;0.18;17;4.46;0.18;8.17;33.22;16.15;6;4
20400;20700;RA3;48.97;0.5;1;48.97;1;2.75;29.5;3.72;2.75;20.65;34.41;28.67;8;4
20700;21000;RA3;37.65;0.25;1;37.65;1;0.18;19.56;4.8;0.18;10.81;35.88;18.69;8;4
21000;21300;RA3;44.58;0.33;1;44.58;1;1.79;22.97;4.32;1.79;14.19;32.71;22.09;15;6
21300;21600;RA3;21.79;0.5;0.25;21.79;0.25;4.55;17.9;4.05;4.55;9.02;14.6;17.07;12;4
21600;21900;RA3;35.62;0.44;1;35.62;1;2.37;28.98;3.69;2.37;20.11;18.84;28.14;9;2
21900;22200;RA3;23.85;0.4;0;23.85;0;5.69;21.04;4.26;5.69;12.26;2.19;20.18;10;1
22200;22500;RA3;27.62;0.67;1;27.62;1;0.29;40.17;2.58;0.29;31.28;25.95;39.3;6;4
22500;22800;RA3;30.78;0.4;0;30.78;0;4.98;27.71;3.82;4.98;18.47;2.78;26.76;10;2
22800;23100;RA3;40.7;0.5;1;40.7;1;0.15;27.54;3.56;0.15;18.68;38.92;26.67;8;4
23100;23400;RA3;30.53;0.29;0.6;30.53;0.6;3.57;18.97;4.64;3.57;10.18;16.38;18.11;17;5
23400;23700;RA3;13.21;0.57;0.25;13.21;0.25;4.66;24.32;3.46;4.66;15.4;6.74;23.49;7;4
23700;24000;RA3;45.19;0.22;1;45.19;1;1.63;20.35;4.75;1.63;11.54;33.32;19.49;9;6
24000;24300;RA3;35.57;0.31;0.67;35.57;0.67;4.03;20.16;4.5;4.03;11.31;24.22;19.29;13;3
24300;24600;RA3;46.85;0.14;1;46.85;1;0.92;15.12;4.88;0.92;5.71;37.48;14.16;7;6
24600;24900;RA3;40.45;0.57;0.25;40.45;0.25;4.98;28.72;3.37;4.98;19.26;19.23;27.74;7;4
24900;25200;RA3;61.94;0.43;1.25;61.94;1.25;0.68;29.48;3.82;0.68;20.69;49.54;28.63;7;4
25200;25500;RA3;47.41;0.56;0.5;47.41;0.5;4.54;30.02;3.4;4.54;21.25;16.31;29.17;9;4
25500;25800;RA3;43.06;0.43;1;43.06;1;0.49;30.55;3.74;0.49;21.8;40.01;29.69;7;4
25800;26100;RA3;44.32;0.44;1.5;44.32;1.5;1.94;21.13;4.18;1.94;12.28;26.01;20.3;9;2
26100;26400;RA3;6.04;0.25;0;6.04;0;5.67;21;4.62;5.67;12.18;0.65;20.17;16;6
26400;26700;RA3;22.13;0.25;1;22.13;1;0.27;21.72;4.65;0.27;12.99;20.39;20.87;16;2
26700;27000;RA3;21.76;0.24;1;21.76;1;4.77;21.59;4.69;4.77;12.76;5.35;20.74;17;1
27000;27300;RA3;38.11;0.43;1;38.11;1;0.75;19.92;4.06;0.75;11.09;31.79;19.1;7;6
27300;27600;RA3;39.06;0.25;1;39.06;1;3.24;17.29;4.77;3.24;8.51;28.72;16.43;12;5
27600;27900;RA3;47.61;0.14;0.83;47.61;0.83;1.36;13.81;5.24;1.36;5.06;37.24;12.94;7;6
27900;28200;RA3;-1;0.42;-1;-1;-1;-1;17.79;4.42;-1;9.02;-1;16.95;12;0
28200;28500;RA3;26.61;0.42;0.33;26.61;0.33;3.74;28.19;3.82;3.74;19.35;19.29;27.32;12;6
28500;28800;RA3;25.37;0.33;0.67;25.37;0.67;2.48;23.61;4.25;2.48;14.82;11.41;22.8;9;3
28800;29100;RA3;26.42;0.45;0.2;26.42;0.2;4.98;24.98;3.65;4.98;15.76;13.67;24.04;11;5
29100;29400;RA3;24.76;0.29;1;24.76;1;0.26;15.39;4.78;0.26;6.53;22.72;14.53;7;2
29400;29700;RA3;25.76;0.43;0.6;25.76;0.6;4.37;21.12;4.37;4.37;12.36;15.62;20.26;7;5
29700;30000;RA3;21.7;1;1;21.7;1;0.56;56.56;0.98;0.56;47.58;19.59;55.71;3;3
30000;30300;RA3;20.71;0.45;1;20.71;1;5.05;22.07;3.93;5.05;13.23;4.63;21.23;11;1
30300;30600;RA3;32.76;0.38;0.75;32.76;0.75;2.46;25.14;4.09;2.46;16.37;27.6;24.3;8;4
30600;30900;RA3;37.75;0.43;0.8;37.75;0.8;2.06;24.76;4.17;2.06;15.97;22.8;23.94;7;5
30900;31200;RA3;37.62;0.29;0.33;37.62;0.33;3.9;23.39;4.25;3.9;14.62;23.29;22.53;7;9
31200;31500;RA3;41.52;0.25;1.33;41.52;1.33;1.16;21.59;4.67;1.16;12.79;29.11;20.74;12;3
31500;31800;RA3;18.07;0.33;0;18.07;0;5.94;16.75;4.53;5.94;8.05;1.6;15.88;3;2
31800;32100;RA3;55.77;0.2;1.5;55.77;1.5;0.89;18.8;4.84;0.89;9.96;42.76;17.95;10;4
32100;32400;RA3;28.97;0.5;0.25;28.97;0.25;5.5;22.56;3.91;5.5;13.81;8.43;21.69;10;4
32400;32700;RA3;52.62;0.31;1;52.62;1;0.2;24.74;4.36;0.2;15.94;50.77;23.92;13;3
32700;33000;RA3;37.34;0.67;1;37.34;1;2.95;35.47;2.7;2.95;26.6;23;34.62;6;4
33000;33300;RA3;22.43;0.38;0.33;22.43;0.33;3.27;23.9;3.65;3.27;14.53;14.97;22.93;8;6
33300;33600;RA3;58.79;0.5;1.17;58.79;1.17;0.91;28.37;3.57;0.91;18.95;48.61;27.41;8;6
33600;33900;RA3;34.73;0.38;0.83;34.73;0.83;4.31;20.69;4.29;4.31;11.85;19.78;19.85;13;6
33900;34200;RA3;46.44;0.44;1;46.44;1;1.07;26.88;4;1.07;18.12;34.18;26.03;9;3
34200;34500;RA3;24.51;0.62;0;24.51;0;5.96;23.24;3.62;5.96;14.39;2.15;22.4;8;1
34500;34800;RA3;47.41;0.29;1;47.41;1;0.15;19.12;4.49;0.15;9.7;45.78;18.15;7;2
34800;35100;RA3;25.24;0.44;0;25.24;0;5.74;26.52;3.46;5.74;17.17;3.02;25.6;9;1
35100;35400;RA3;24.6;0.22;0.4;24.6;0.4;3.82;13.64;5.11;3.82;4.89;18.78;12.81;9;5
35400;35700;RA3;-1;0.27;-1;-1;-1;-1;18.23;4.67;-1;9.43;-1;17.37;11;0
35700;36000;RA3;39.56;0.36;1.25;39.56;1.25;3.32;20.01;4.32;3.32;11.24;26.82;19.17;11;4
36000;36300;RA3;43.6;0.44;1;43.6;1;1.05;21.74;4.1;1.05;12.93;34.98;20.9;9;10
36300;36600;RA3;20.23;0.83;0.67;20.23;0.67;4.6;42.62;2.01;4.6;33.8;6.98;41.78;6;3
36600;36900;RA3;54.48;0;1;54.48;1;0.88;12.03;4.99;0.88;0.95;45.35;10.79;2;5
36900;37200;RA3;42.54;0.62;0.5;42.54;0.5;5.03;33.78;3.15;5.03;24.94;10.46;32.94;8;2
37200;37500;RA3;73.21;0.4;1.4;73.21;1.4;0.57;23.36;4.01;0.57;14.52;62.15;22.53;10;5
37500;37800;RA3;18.82;0.27;0;18.82;0;5.87;21.97;4.57;5.87;13.14;1.95;21.15;15;1
37800;38100;RA3;5.18;0;0;5.18;0;5.39;10.08;5.76;5.39;1.34;0.65;9.25;6;4
38100;38400;RA3;27.43;0.2;1;27.43;1;3.52;18.45;4.89;3.52;8.7;9.49;17.43;5;2
38400;38700;RA3;18.57;0.2;0.5;18.57;0.5;4.66;17.28;5.04;4.66;8.56;6.75;16.45;5;4
38700;39000;RA3;36.09;0.31;1;36.09;1;1.07;23.29;4.36;1.07;14.47;25.5;22.44;13;5
39000;39300;RA3;53.47;0.38;1;53.47;1;3.27;28.31;3.99;3.27;19.52;43.69;27.47;16;2
39300;39600;RA3;48.57;0.33;1;48.57;1;0.14;15.67;4.58;0.14;6.93;46.76;14.79;3;4
39600;39900;RA3;40.78;0.55;1.17;40.78;1.17;1.72;31.09;3.38;1.72;22.15;30.04;30.27;11;6
39900;40200;RA3;5.35;0.44;0;5.35;0;5.55;26.4;3.83;5.55;17.58;0.44;25.54;9;3
40200;40500;RA3;75.23;0.5;1.5;75.23;1.5;1.2;33.29;3.37;1.2;24.5;53.57;32.44;6;4
40500;40800;RA3;73.8;0.31;0.5;73.8;0.5;4.26;27.51;4.31;4.26;18.73;38.23;26.64;13;2
40800;41100;RA3;31.36;0.44;1;31.36;1;0.23;28.32;3.76;0.23;19.44;29.68;27.46;9;2
41100;41400;RA3;50.39;0.43;0.67;50.39;0.67;4.66;23.03;3.83;4.66;14.15;19.96;22.2;7;3
41400;41700;RA3;18.59;0.29;1;18.59;1;0.73;19.6;4.49;0.73;10.8;16.33;18.74;14;1
41700;42000;RA3;42.67;0.36;1;42.67;1;2.26;15.6;4.49;2.26;6.41;27.75;14.7;11;3
42000;42300;RA3;32.25;0.29;0.8;32.25;0.8;1.86;21.47;4.18;1.86;11.95;27.23;20.48;7;5
42300;42600;RA3;55.71;0.67;1.2;55.71;1.2;1.41;28.87;3.08;1.41;20.08;43.75;28.04;9;5
42600;42900;RA3;6.88;0.5;0;6.88;0;5.85;17.09;4.31;5.85;8.37;0.67;16.21;6;5
42900;43200;RA3;11.21;0.38;0.5;11.21;0.5;1.22;22.19;4.19;1.22;13.33;9.57;21.33;8;2
43200;43500;RA3;20.76;0.4;0;20.76;0;5.8;24.48;3.93;5.8;15.67;2.12;23.62;10;3
43500;43800;RA3;48.24;0.25;1.25;48.24;1.25;0.79;19.75;4.42;0.79;10.3;38.45;18.81;8;4
43800;44100;RA3;28.95;0.5;0.33;28.95;0.33;5.32;28.28;3.7;5.32;19.51;9.92;27.43;10;3
44100;44400;RA3;36.67;0.25;1;36.67;1;0.15;14.46;4.78;0.15;5.7;34.6;13.61;4;4
44400;44700;RA3;3.09;0.32;0;3.09;0;4.48;19.53;4.56;4.48;10.72;0.97;18.7;19;1
44700;45000;RA3;4.73;0.62;0;4.73;0;5.94;36.29;2.87;5.94;27.52;0.29;35.44;8;1
45000;45300;RA3;14.32;0.27;1;14.32;1;0.96;18.05;4.72;0.96;9.21;12.11;17.21;11;1
45300;45600;RA3;28.71;0.31;1;28.71;1;4.22;16.49;4.7;4.22;7.7;16.85;15.61;13;3
45600;45900;RA3;44.13;0.31;1;44.13;1;0.96;23.67;4.35;0.96;14.81;36.82;22.84;13;5
45900;46200;RA3;18.83;0.55;0;18.83;0;5.87;33.65;3.37;5.87;24.73;1.95;32.8;11;3
46200;46500;RA3;49.93;0.29;1;49.93;1;0.14;23.46;4.41;0.14;14.67;48.2;22.58;7;4
46500;46800;RA3;13.44;0.29;0;13.44;0;5.85;22.85;4.5;5.85;14.06;1.34;21.99;21;3
46800;47100;RA3;43.05;0.5;1;43.05;1;0.91;24.41;3.77;0.91;15.45;36.23;23.54;8;1
47100;47400;RA3;25.4;0.2;0;25.4;0;5.59;15.71;5.05;5.59;6.04;2.75;14.66;5;2
47400;47700;RA3;42.87;0.38;1;42.87;1;3.53;20.97;4.22;3.53;12.19;31.27;20.13;8;4
47700;48000;RA3;11.75;0.31;1;11.75;1;0.68;21.02;4.43;0.68;12.18;9.85;20.17;13;3
48000;48300;RA3;4.8;0.67;0;4.8;0;5.43;30.51;3.08;5.43;21.72;0.49;29.68;6;1
48300;48600;RA3;33.11;0.29;1;33.11;1;0.17;20.54;4.32;0.17;11.05;31.43;19.58;7;2
48600;48900;RA3;46.28;0.33;1;46.28;1;3;26.02;4.24;3;17.28;34.38;25.15;9;3
48900;49200;RA3;49.91;0.5;0.8;49.91;0.8;2;23.66;3.55;2;14.89;39.98;22.82;6;5
49200;49500;RA3;-1;0.38;-1;-1;-1;-1;18.29;4.56;-1;9.48;-1;17.43;8;0
49500;49800;RA3;16.04;0.75;0.5;16.04;0.5;4.81;29.28;3.11;4.81;20.48;4.5;28.38;4;2
49800;50100;RA3;21.42;0.38;1;21.42;1;0.3;27.36;4.08;0.3;18.57;19.47;26.54;8;2
50100;50400;RA3;31.86;0.57;0.5;31.86;0.5;4.42;28.15;3.48;4.42;19.32;16.23;27.33;7;2
