interval_begin;interval_end;interval_id;interval_meanDurationWithin;interval_meanHaltsPerVehicle;interval_meanHaltsPerVehicleWithin;interval_meanIntervalDurationWithin;interval_meanIntervalHaltsPerVehicleWithin;interval_meanIntervalSpeedWithin;interval_meanOverlapTravelTime;interval_meanSpeed;interval_meanSpeedWithin;interval_meanTimeLoss;interval_meanTimeLossWithin;interval_meanTravelTime;interval_vehicleSum;interval_vehicleSumWithin
0;300;RA1;109.17;0.29;1.2;109.17;1.2;2.55;19.38;4.37;2.55;12.46;61.03;18.52;17;5
300;600;RA1;102.19;0.2;1.5;102.19;1.5;4.02;16;4.56;4.02;8.8;48.94;15.1;20;8
600;900;RA1;102.48;0.26;1;102.48;1;3.84;17.7;4.52;3.84;10.74;40.32;16.85;19;3
900;1200;RA1;82.01;0.4;1.42;82.01;1.42;2.11;28.62;3.78;2.11;21.63;47.83;27.78;10;12
1200;1500;RA1;116.94;0.24;2;116.94;2;3.35;19.64;4.53;3.35;12.66;71.99;18.78;21;5
1500;1800;RA1;80.55;0.4;1.88;80.55;1.88;1.74;24.67;3.83;1.74;17.69;45.46;23.84;10;8
1800;2100;RA1;114.14;0.43;2.67;114.14;2.67;3.52;21.82;3.93;3.52;14.85;63.31;20.96;14;3
2100;2400;RA1;87.71;0.27;1.29;87.71;1.29;1.97;18.83;4.43;1.97;11.84;50.39;17.97;15;7
2400;2700;RA1;71.57;0.33;1.25;71.57;1.25;3.72;21.6;4.26;3.72;14.62;26.71;20.74;18;4
2700;3000;RA1;88.34;0.25;1.3;88.34;1.3;4.14;21.65;4.57;4.14;14.72;33.37;20.81;4;10
3000;3300;RA1;80.1;0.23;1.75;80.1;1.75;1.22;15.9;4.43;1.22;8.55;55.88;14.97;13;4
3300;3600;RA1;83.71;0.33;1.67;83.71;1.67;3.85;19.8;4.18;3.85;12.57;48.81;18.92;15;3
3600;3900;RA1;89.61;0.15;1.6;89.61;1.6;2.35;15.72;5.08;2.35;8.77;45.59;14.88;26;5
3900;4200;RA1;34.87;0.12;0.33;34.87;0.33;4.63;13.64;5.24;4.63;6.7;13.53;12.8;33;9
4200;4500;RA1;56.56;0.11;1.4;56.56;1.4;1.6;14.29;5.13;1.6;7.23;39.91;13.42;37;5
4500;4800;RA1;52;0.14;0.8;52;0.8;4.15;15.71;4.98;4.15;8.76;30.88;14.85;44;5
4800;5100;RA1;23.73;0.16;0.25;23.73;0.25;5.11;15.11;4.95;5.11;8.15;10.1;14.27;31;4
5100;5400;RA1;72.21;0.11;1.29;72.21;1.29;2.82;13.17;5.22;2.82;6.14;35.48;12.3;38;7
5400;5700;RA1;53.33;0.14;1.33;53.33;1.33;2.87;14.68;5.03;2.87;7.73;34.12;13.83;28;3
5700;6000;RA1;98.83;0.11;1.7;98.83;1.7;2.13;13.03;5.26;2.13;6.09;58.65;12.19;28;10
6000;6300;RA1;60.24;0.14;1.2;60.24;1.2;4.1;15.28;5.05;4.1;8.32;33.35;14.43;44;10
6300;6600;RA1;92.55;0.09;1.17;92.55;1.17;1.65;12.68;5.3;1.65;5.73;57.34;11.85;35;6
6600;6900;RA1;62.54;0.12;1.25;62.54;1.25;4.81;14.48;5.12;4.81;7.52;23.09;13.63;40;8
6900;7200;RA1;57.41;0.15;0.9;57.41;0.9;2.41;16.05;5.06;2.41;9.11;36.43;15.22;26;10
7200;7500;RA1;41.39;0.22;0.8;41.39;0.8;3.94;19.79;4.64;3.94;12.74;18.22;18.91;27;5
