interval_begin;interval_end;interval_id;interval_meanDurationWithin;interval_meanHaltsPerVehicle;interval_meanHaltsPerVehicleWithin;interval_meanIntervalDurationWithin;interval_meanIntervalHaltsPerVehicleWithin;interval_meanIntervalSpeedWithin;interval_meanOverlapTravelTime;interval_meanSpeed;interval_meanSpeedWithin;interval_meanTimeLoss;interval_meanTimeLossWithin;interval_meanTravelTime;interval_vehicleSum;interval_vehicleSumWithin
7500;7800;RA1;65.81;0.31;0.7;65.5;0.7;4.86;23.61;4.19;4.86;16.6;28.87;22.75;16;10
7800;8100;RA1;111.74;0.09;1.43;111.74;1.43;2.48;12.54;5.27;2.48;5.6;65.97;11.68;32;7
8100;8400;RA1;92.15;0.17;1.78;92.15;1.78;3.77;17.7;4.81;3.77;10.52;42.75;16.81;23;9
8400;8700;RA1;85.17;0.21;1.17;85.17;1.17;1.92;18.75;4.7;1.92;11.8;50.02;17.9;19;12
8700;9000;RA1;76.69;0.23;1.57;76.69;1.57;2.86;16.99;4.73;2.86;9.99;47.45;16.13;22;7
9000;9300;RA1;79.95;0.15;1.12;79.95;1.12;1.75;16.02;5.09;1.75;9.08;52.81;15.19;20;8
9300;9600;RA1;51.93;0.16;0.91;51.93;0.91;3.38;16.06;4.95;3.38;9.1;24.37;15.22;32;11
9600;9900;RA1;76.84;0.18;1.15;76.84;1.15;3.79;16.18;4.93;3.79;9.22;43.07;15.37;22;13
9900;10200;RA1;63.8;0.11;0.83;63.8;0.83;4.24;13.74;5.06;4.24;6.64;12.89;12.88;36;6
10200;10500;RA1;52.22;0.08;0.56;52.22;0.56;4.4;11.14;5.39;4.4;4.19;28.5;10.29;26;9
10500;10800;RA1;38.49;0.14;1;38.49;1;1.09;14.51;5.17;1.09;7.54;25.9;13.68;22;5
10800;11100;RA1;79.28;0.19;1.25;79.28;1.25;3.88;15.68;4.73;3.88;8.57;32.24;14.79;26;4
11100;11400;RA1;57.26;0.19;1.25;57.26;1.25;1.2;17.22;4.84;1.2;10.25;37.12;16.36;21;4
11400;11700;RA1;68.64;0.14;0.78;68.64;0.78;3.37;14.81;5.04;3.37;7.89;33.84;13.96;21;9
11700;12000;RA1;25.6;0.27;0.6;25.6;0.6;3.36;19.59;4.5;3.36;12.6;18.89;18.76;15;5
12000;12300;RA1;87.43;0.18;1.75;87.43;1.75;2.71;18.12;4.65;2.71;10.94;49.43;17.23;17;8
12300;12600;RA1;104.62;0.15;1.44;104.62;1.44;2.99;15.96;4.84;2.99;8.85;58.9;15.07;27;9
12600;12900;RA1;115.42;0.09;1.5;115.42;1.5;2.6;10.96;5.34;2.6;3.87;58.93;10.08;23;6
12900;13200;RA1;42.27;0.21;0.78;42.27;0.78;4.66;18.14;4.84;4.66;11.17;18.69;17.3;29;9
13200;13500;RA1;119.96;0.21;1.38;119.96;1.38;2.83;16.11;4.68;2.83;8.88;44.75;15.19;14;8
13500;13800;RA1;72.85;0.22;1;72.85;1;4.68;17.09;4.64;4.68;9.92;31.96;16.19;23;7
13800;14100;RA1;78.93;0.17;1.4;78.93;1.4;0.63;15.88;4.87;0.63;8.9;65.03;15.01;18;5
14100;14400;RA1;69.51;0.25;1.14;69.51;1.14;3.23;21.01;4.47;3.23;13.84;34.23;20.1;20;7
14400;14700;RA1;67.59;0.2;1;67.59;1;2.73;17.08;4.88;2.73;10.2;36.62;16.22;10;4
14700;15000;RA1;78.26;0.18;1.33;78.26;1.33;2.12;13.95;4.9;2.12;6.97;46.46;13.09;17;9
15000;15300;RA1;75.74;0.21;1.25;75.74;1.25;3.97;17.66;4.75;3.97;10.74;41.24;16.81;14;4
15300;15600;RA1;77.86;0.11;1.18;77.86;1.18;1.84;12.23;5.25;1.84;5.26;53.57;11.38;19;17
15600;15900;RA1;87.97;0.16;2;87.97;2;2.71;13.61;5.03;2.71;6.66;63.63;12.77;25;4
15900;16200;RA1;82.1;0.25;1.4;82.1;1.4;0.99;17.17;4.53;0.99;9.92;54.27;16.25;12;5
16200;16500;RA1;41.65;0.23;0.43;41.65;0.43;5.1;18.13;4.71;5.1;11.19;12.73;17.3;22;7
16500;16800;RA1;62.19;0.12;1.2;62.19;1.2;3.28;13.14;4.86;3.28;5.62;38.56;12.2;16;10
16800;17100;RA1;52.74;0.11;0.86;52.74;0.86;3.53;11.67;5.22;3.53;4.54;21.97;10.78;18;7
17100;17400;RA1;71.95;0.18;1.5;71.95;1.5;3.35;14.61;4.85;3.35;7.69;44.27;13.76;17;4
17400;17700;RA1;123.06;0.06;2.15;123.06;2.15;2.47;10.7;5.34;2.47;3.57;79.17;9.8;18;13
17700;18000;RA1;51.72;0.42;1;51.72;1;4.74;19.8;3.82;4.74;12.47;19.36;18.89;12;6
18000;18300;RA1;51.55;0.1;0.8;51.55;0.8;1.94;13.83;5.19;1.94;6.85;39.19;12.97;20;5
18300;18600;RA1;43.3;0.14;0.83;43.3;0.83;4.84;15.32;5.1;4.84;8.39;21.39;14.47;22;6
18600;18900;RA1;73.47;0.23;1.29;73.47;1.29;2.21;19.67;4.22;2.21;12.38;45.95;18.77;13;7
18900;19200;RA1;75.09;0.25;1.4;75.09;1.4;3.2;20.29;4.59;3.2;13.29;44.09;19.45;20;5
19200;19500;RA1;39.56;0.27;0.5;39.56;0.5;5.1;19.06;4.49;5.1;12.07;20.41;18.22;22;8
19500;19800;RA1;60.47;0.11;1;60.47;1;3.86;13.59;5.08;3.86;6.44;22.85;12.68;18;14
19800;20100;RA1;52.86;0.67;0.5;52.86;0.5;3.79;40.62;2.1;3.79;33.02;31.56;39.65;6;2
20100;20400;RA1;47.68;0.07;1.2;47.68;1.2;1.14;11.37;5.52;1.14;4.47;31.28;10.53;15;5
20400;20700;RA1;49.12;0.19;1;49.12;1;2.69;18.15;4.75;2.69;11.19;33.78;17.32;16;5
20700;21000;RA1;75.83;0.38;1.4;75.83;1.4;0.97;21.33;3.92;0.97;14.31;45.9;20.48;8;5
21000;21300;RA1;59.78;0.23;1.08;59.78;1.08;3.4;20.28;4.36;3.4;13.12;28.75;19.39;22;13
21300;21600;RA1;51.05;0.31;1;51.05;1;3.75;23.7;4.12;3.75;16.45;27.62;22.78;13;8
21600;21900;RA1;108.96;0.15;1.62;108.96;1.62;2.79;13.28;4.94;2.79;6.3;59.33;12.43;20;8
21900;22200;RA1;42.56;0.38;1.25;42.56;1.25;3.66;16.66;4.17;3.66;9.39;22.57;15.77;16;4
22200;22500;RA1;79.23;0.2;1.62;79.23;1.62;1.81;17.52;4.72;1.81;10.54;49.72;16.67;15;8
22500;22800;RA1;64.9;0.21;0.6;64.9;0.6;4.1;18.95;4.7;4.1;12.02;25.4;18.11;19;5
22800;23100;RA1;113.75;0.19;1.75;113.75;1.75;1.68;17.46;4.45;1.68;10.04;64.16;16.5;16;8
23100;23400;RA1;57.24;0.21;0.85;57.24;0.85;4.2;19.35;4.62;4.2;12.4;23.42;18.5;19;13
23400;23700;RA1;13.21;0.21;0.25;13.21;0.25;4.66;19.27;4.59;4.66;12.12;6.74;18.37;19;4
23700;24000;RA1;45.19;0.08;1;45.19;1;1.63;11.55;5.37;1.63;4.41;33.32;10.67;24;6
24000;24300;RA1;63.82;0.2;1;63.82;1;3.83;16.63;4.81;3.83;9.65;34.37;15.81;15;12
24300;24600;RA1;49.36;0.19;1;49.36;1;1.36;12.74;5.08;1.36;5.82;35.7;11.9;16;7
24600;24900;RA1;62.86;0.18;0.57;62.86;0.57;4.38;16.24;4.91;4.38;9.28;27.67;15.4;22;7
24900;25200;RA1;79.64;0.25;1.29;79.64;1.29;2.14;18.01;4.65;2.14;11.08;46.14;17.18;12;7
25200;25500;RA1;96.24;0.21;1.55;96.24;1.55;3.22;16.83;4.65;3.22;9.89;52.42;15.96;14;11
25500;25800;RA1;68.56;0.14;1.2;68.56;1.2;1.04;11.62;5.19;1.04;4.65;49.21;10.78;14;5
25800;26100;RA1;44.32;0.25;1.5;44.32;1.5;1.94;17.41;4.58;1.94;10.22;26.01;16.51;16;2
26100;26400;RA1;61.03;0.36;0.5;61.03;0.5;4.52;22.79;4.1;4.52;15.82;25.62;21.92;14;14
26400;26700;RA1;37.52;0.12;1;37.52;1;1.25;13.71;5.21;1.25;6.75;27.69;12.85;16;4
26700;27000;RA1;61.74;0.25;1.38;61.74;1.38;3.77;17.78;4.64;3.77;10.79;31.35;16.93;12;8
27000;27300;RA1;106.85;0.19;1.5;104.18;1.4;1.85;15.58;5.04;1.86;8.6;58.44;14.74;16;10
27300;27600;RA1;63.28;0.25;1.12;63.28;1.12;3.69;20.35;4.58;3.69;13.42;29.7;19.49;12;8
27600;27900;RA1;47.61;0.08;0.83;47.61;0.83;1.36;11.98;5.12;1.36;4.68;37.24;11.05;12;6
27900;28200;RA1;102.9;0.5;2;102.9;2;2.72;25.01;3.46;2.72;18;63.69;24.15;12;6
28200;28500;RA1;78.24;0.26;1.2;78.24;1.2;3.17;17.94;4.52;3.17;10.99;49.32;17.1;19;10
28500;28800;RA1;51.89;0.12;0.57;51.89;0.57;4.02;14.63;5.06;4.02;7.53;14.56;13.74;24;7
28800;29100;RA1;87.58;0.1;1.29;87.58;1.29;4.12;12.86;5.29;4.12;5.84;42.7;12;20;7
29100;29400;RA1;66.13;0.25;1.17;66.13;1.17;2.5;18.15;4.62;2.5;11.18;36.94;17.32;16;6
29400;29700;RA1;60.33;0.18;1;60.33;1;4.35;15.76;4.67;4.35;8.62;31.48;14.89;22;9
29700;30000;RA1;55.04;0.15;1.25;55.04;1.25;0.94;16.05;4.75;0.94;8.89;41.21;15.17;20;4
30000;30300;RA1;55.23;0.15;1.5;55.23;1.5;3.2;16.04;4.85;3.2;8.88;37.96;15.14;20;2
30300;30600;RA1;66.36;0.36;1.38;66.36;1.38;3.1;21.9;4.12;3.1;14.99;37.7;21.05;11;8
30600;30900;RA1;48.99;0.2;0.86;48.99;0.86;2.75;16.66;4.76;2.75;9.7;25.47;15.82;15;7
30900;31200;RA1;33.23;0.11;0.25;33.23;0.25;4.36;13.3;5.18;4.36;6.35;18.08;12.46;18;12
31200;31500;RA1;114.18;0.25;1.88;114.18;1.88;2.76;16.8;4.61;2.76;9.83;55.54;15.95;16;8
31500;31800;RA1;18.07;0.14;0;18.07;0;5.94;16.31;4.6;5.94;8.82;1.6;15.35;22;2
31800;32100;RA1;85.64;0.19;1.75;85.64;1.75;2.43;14.68;5.02;2.43;7.72;45.42;13.82;16;8
32100;32400;RA1;49.94;0.26;0.78;49.94;0.78;4.97;18.52;4.37;4.97;11.41;16.96;17.65;19;9
32400;32700;RA1;58.15;0.2;0.75;58.15;0.75;1.63;16.66;4.86;1.63;9.72;39.93;15.81;15;4
32700;33000;RA1;80.96;0.19;1.33;80.96;1.33;3.12;17.95;4.44;3.12;10.64;41.87;17.02;21;6
33000;33300;RA1;44.84;0.17;0.62;44.84;0.62;2.99;16.26;5.01;2.99;9.35;28.79;15.43;18;8
33300;33600;RA1;88.69;0.14;1.36;84.75;1.27;2.26;10.55;5.09;2.25;3.4;51.61;9.67;21;11
33600;33900;RA1;64.13;0.16;1.18;64.13;1.18;4.05;16.62;4.89;4.05;9.48;32.33;15.74;19;11
33900;34200;RA1;67.16;0.21;1.29;67.16;1.29;3.21;17.07;4.62;3.21;9.88;31.65;16.17;19;7
34200;34500;RA1;65.75;0.14;1.5;65.75;1.5;4;15.19;5.06;4;8.24;31.43;14.35;22;4
34500;34800;RA1;78.25;0.36;1;78.25;1;2.27;22.88;4.08;2.27;15.91;40.34;22.04;11;6
34800;35100;RA1;99.83;0.13;1.56;99.83;1.56;2.48;13.8;5.12;2.48;6.88;64.66;12.94;23;9
35100;35400;RA1;43.57;0.15;0.75;43.57;0.75;3.67;15.49;5.03;3.67;8.56;24.88;14.65;20;8
35400;35700;RA1;66.83;0.24;1.4;66.83;1.4;4.08;20.06;4.58;4.08;13.13;31.99;19.21;21;5
35700;36000;RA1;78.12;0.2;1.62;78.12;1.62;3.42;18.55;4.82;3.42;11.57;40.98;17.69;15;8
36000;36300;RA1;65.78;0.27;1.27;65.78;1.27;1.54;18.47;4.55;1.54;11.4;45.03;17.62;11;15
36300;36600;RA1;43.51;0.3;1.2;43.51;1.2;3.36;23.66;4.04;3.36;16.48;28.08;22.77;20;5
36600;36900;RA1;72.73;0.21;1;72.73;1;1.76;19.95;4.73;1.76;12.94;42.29;19.12;14;7
36900;37200;RA1;49.12;0.24;1;49.12;1;4.75;20.96;4.35;4.75;13.78;17.59;20.09;21;4
37200;37500;RA1;73.24;0.25;1.29;73.24;1.29;1.28;17.24;4.73;1.28;9.84;55.28;16.28;8;7
37500;37800;RA1;37.75;0.24;0.75;37.75;0.75;4.65;18.71;4.62;4.65;11.74;10.55;17.85;17;4
37800;38100;RA1;3.83;0.29;0;3.83;0;5.33;22.17;4.27;5.33;15.21;0.48;21.32;17;3
38100;38400;RA1;88.79;0.12;2;88.79;2;3.17;15.12;4.93;3.17;7.87;44.7;14.22;25;5
38400;38700;RA1;46.72;0.17;0.83;46.72;0.83;4.47;14.83;4.91;4.47;7.74;25.72;13.94;24;6
38700;39000;RA1;79.61;0.27;1.3;79.61;1.3;2.4;19.38;4.35;2.4;12.21;42.37;18.45;15;10
39000;39300;RA1;53.4;0.2;0.57;53.4;0.57;4.24;16.27;4.8;4.24;9.33;29.29;15.42;20;7
39300;39600;RA1;79.82;0.29;1.17;79.82;1.17;1.53;20.26;4.36;1.53;13.34;45.51;19.41;14;6
39600;39900;RA1;60.63;0.18;1.27;60.63;1.27;2.52;16.73;4.91;2.52;9.77;41.21;15.9;17;11
39900;40200;RA1;80.19;0.27;1.12;80.19;1.12;4.57;20.92;4.43;4.57;13.97;25.95;20.06;15;8
40200;40500;RA1;90.74;0.07;1.67;90.74;1.67;1.9;8.46;5.52;1.9;1.49;55.64;7.6;15;6
40500;40800;RA1;62.24;0.24;0.6;62.24;0.6;4.22;13.97;4.96;4.22;7.08;31.85;13.11;17;10
40800;41100;RA1;94.98;0.25;2;94.98;2;1.27;20.18;4.59;1.27;12.91;66.2;19.26;12;4
41100;41400;RA1;75.09;0.12;1.43;75.09;1.43;3.42;13.79;4.84;3.42;6.54;38.54;12.88;25;7
41400;41700;RA1;122.74;0.25;1.5;122.74;1.5;3.19;20.23;4.24;3.19;13.01;58.29;19.32;16;4
41700;42000;RA1;75.09;0.15;1.67;75.09;1.67;3.17;14.38;5.08;3.17;7.35;38.84;13.51;13;6
42000;42300;RA1;76.03;0.25;1.44;76.03;1.44;2.38;18.34;4.42;2.38;11.35;44.38;17.48;12;9
42300;42600;RA1;92.04;0.19;1.82;92.04;1.82;2.32;17.75;4.54;2.32;10.59;56.51;16.89;27;11
42600;42900;RA1;6.88;0.31;0;6.88;0;5.85;22.85;4.18;5.85;15.87;0.67;22;16;5
42900;43200;RA1;68.05;0.1;1.83;68.05;1.83;2.23;13.11;5.23;2.23;6.15;40.91;12.25;10;6
43200;43500;RA1;54.24;0.4;1;54.24;1;4.8;26.81;3.8;4.8;19.82;20.68;25.95;15;5
43500;43800;RA1;80.66;0.13;1.44;80.66;1.44;1.92;14.87;5.15;1.92;7.93;52.47;14.03;15;9
43800;44100;RA1;90.63;0.31;1.33;90.63;1.33;4.31;17.81;4.51;4.31;10.89;46.16;16.93;13;9
44100;44400;RA1;76.74;0.21;1;76.74;1;0.99;16.75;4.77;0.99;9.8;43.78;15.91;19;5
44400;44700;RA1;87.42;0.33;1.56;87.42;1.56;3.04;21.72;4.21;3.04;14.69;51.11;20.88;15;9
44700;45000;RA1;113.1;0.46;1.8;113.1;1.8;2.77;25.4;3.68;2.77;18.46;77.01;24.54;13;5
45000;45300;RA1;67.99;0.33;1;67.99;1;3.47;18.53;4.21;3.47;11.46;28.88;17.68;9;3
45300;45600;RA1;39.39;0.25;0.67;39.39;0.67;4.8;14.28;4.79;4.8;7.35;14.51;13.42;12;9
45600;45900;RA1;66.06;0.24;1.11;66.06;1.11;2.08;19.14;4.63;2.08;12.16;40.28;18.28;17;9
45900;46200;RA1;46.57;0.36;0.86;46.57;0.86;4.33;19.64;4.16;4.33;12.61;23.58;18.79;14;7
46200;46500;RA1;109.88;0.3;1.62;109.88;1.62;1.82;15.64;4.52;1.82;8.69;65.41;14.81;10;8
46500;46800;RA1;61.59;0.16;0.29;61.59;0.29;5.28;16.33;4.99;5.28;9.4;17.43;15.47;19;14
46800;47100;RA1;148.93;0.33;1.5;146.24;1.5;3.28;23.65;4.25;3.31;16.72;69.14;22.8;9;4
47100;47400;RA1;89.78;0.5;0.67;89.78;0.67;4.57;19.6;3.52;4.57;12.22;33.19;18.65;8;3
47400;47700;RA1;76.83;0.23;1.4;76.83;1.4;3.29;13.51;4.88;3.29;6.59;47.73;12.67;13;10
47700;48000;RA1;71.43;0.25;1.27;71.43;1.27;2.85;15.55;4.65;2.85;8.6;35.22;14.7;8;11
48000;48300;RA1;71.85;0.33;1.6;71.85;1.6;4.09;19.74;4.24;4.09;12.52;31.17;18.79;12;5
48300;48600;RA1;74.76;0.08;1.17;74.76;1.17;2.82;10.38;5.52;2.82;3.43;32.86;9.53;13;6
48600;48900;RA1;78.67;0.31;1.38;78.67;1.38;3.42;21.83;4.22;3.42;14.9;47.64;20.97;16;8
48900;49200;RA1;73.3;0.33;1.12;73.3;1.12;2.6;15.65;4.33;2.6;8.7;44.81;14.83;6;8
49200;49500;RA1;87.1;0.36;1.33;87.1;1.33;3.04;22.19;4.08;3.04;15.26;52.16;21.33;14;6
49500;49800;RA1;35.38;0.5;0.75;35.38;0.75;3.44;30.76;3.32;3.44;23.77;21.25;29.91;10;4
49800;50100;RA1;90.29;0.29;1.5;90.29;1.5;2.29;18.75;4.42;2.29;11.76;51.05;17.9;7;8
50100;50400;RA1;41.13;0.29;0.67;41.13;0.67;4.09;20.02;4.47;4.09;13.1;20.3;19.22;7;3
